Index,Balance,Price,Q,Name,UID,Bounty,Q_Max,Time
171,631.0,100.0,47,70%TIX,113928,70,3,2017-01-22 18:12:33.364000
172,7987.0,100.0,10,DR. MAGIC 30% MTGO,32179,30,61,2017-01-22 18:12:33.364000
173,8482.0,100.0,50,WICKET 35% BONUS ALL,61077,35,62,2017-01-22 18:12:33.364000
174,6582.0,100.0,42,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
175,631.0,100.0,67,70%TIX,113928,70,3,2017-01-22 18:12:33.364000
176,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
178,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
179,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
180,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
181,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
186,4075.0,100.0,37,+50%MGO/350PP ANYTIX,118605,50,27,2017-01-22 18:12:33.364000
189,45448.0,100.0,99,+60% (NON-PROMOTED),49279,60,284,2017-01-22 18:12:33.364000
195,2038.0,100.0,99,40% ON ALL,6931,40,14,2017-01-22 18:12:33.364000
197,13814.0,100.0,19,+20% ALL MTGO TRADES,28788,20,115,2017-01-22 18:12:33.364000
200,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
201,3656.0,100.0,40,220% FOR TICKETS,16754,220,11,2017-01-22 18:12:33.364000
202,12446.0,100.0,99,DAVERS +10% ALL,89776,10,113,2017-01-22 18:12:33.364000
208,1388.0,100.0,97,HAVES 25%MTGO 50%COS,35487,50,9,2017-01-22 18:12:33.364000
209,5850.0,100.0,20,+10% BONUS ON WANTS!,17285,10,53,2017-01-22 18:12:33.364000
210,7390.0,100.0,34,+30% TIX +30% MTGO,90795,30,56,2017-01-22 18:12:33.364000
211,7987.0,100.0,60,FPRICEPT 20%FASTLAND,93857,20,66,2017-01-22 18:12:33.364000
216,1154.0,100.0,10,TANGO(15-20%BONUS),120562,20,9,2017-01-22 18:12:33.364000
219,23118.0,100.0,84,20-35% BONUSES!,121957,35,171,2017-01-22 18:12:33.364000
220,3183.0,100.0,19,DECIPIO - 15% BONUS,134314,15,27,2017-01-22 18:12:33.364000
223,1030.0,100.0,99,+20% ALL! TIX + 120%,71074,120,4,2017-01-22 18:12:33.364000
224,1030.0,100.0,99,+20% ALL! TIX + 120%,71074,120,4,2017-01-22 18:12:33.364000
226,3382.0,100.0,20,25% BONUS EVERYTHING,82212,25,27,2017-01-22 18:12:33.364000
236,23852.0,100.0,50,*30% BONUS ALL,131447,30,183,2017-01-22 18:12:33.364000
240,6582.0,100.0,34,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
244,27919.0,100.0,99,GATOR 50% BONUS,6991,50,186,2017-01-22 18:12:33.364000
247,157204.0,100.0,99,+30% MTGO/+20% PAPER,7323,30,1209,2017-01-22 18:12:33.364000
248,31286.0,100.0,99,BONUS 50% ON WANTS,133326,50,208,2017-01-22 18:12:33.364000
250,7508.0,100.0,15,20-60% EXTRA,41621,60,46,2017-01-22 18:12:33.364000
251,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
252,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
257,27716.0,100.0,99,MAGIC FISCH 25%BONUS,137662,25,221,2017-01-22 18:12:33.364000
258,8509.0,100.0,15,EVERYTHING30%BONUS,91498,30,65,2017-01-22 18:12:33.364000
259,11989.0,100.0,20,TIX200PPEACH50%RHINO,150834,50,79,2017-01-22 18:12:33.364000
260,9887.0,100.0,99,25% FOR MTGO,21428,25,79,2017-01-22 18:12:33.364000
270,1298.0,100.0,10,TRUGAMER - TIX + 29%,115283,29,10,2017-01-22 18:12:33.364000
276,16460.0,100.0,77,35% BONUS ALL CARDS!,93240,35,121,2017-01-22 18:12:33.364000
278,4630.0,100.0,20,STATICPO-20%BONUS,15736,20,38,2017-01-22 18:12:33.364000
283,5878.0,100.0,99,CCMWHITE 15%+ ON ALL,14137,15,51,2017-01-22 18:12:33.364000
285,2560.0,100.0,24,TIX+100% PLZ READ,10063,100,12,2017-01-22 18:12:33.364000
287,6553.0,100.0,30,20% BONUS ALL BASIC,35018,20,54,2017-01-22 18:12:33.364000
290,45048.0,100.0,1,WKDWRLOCK 30% BNTY,5620,30,346,2017-01-22 18:12:33.364000
294,1030.0,100.0,99,+20% ALL! TIX + 120%,71074,120,4,2017-01-22 18:12:33.364000
295,5752.0,100.0,40,25% FOR SAHEELI/AV,18916,25,46,2017-01-22 18:12:33.364000
296,1030.0,100.0,99,+20% ALL! TIX + 120%,71074,120,4,2017-01-22 18:12:33.364000
297,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
298,767.0,100.0,30,+25% ON ALL MTGO!!!,128743,25,6,2017-01-22 18:12:33.364000
300,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
304,5160.0,100.0,99,NISUS (30% BONUS),36578,30,39,2017-01-22 18:12:33.364000
305,103002.0,100.0,99,15-30% LANDS,32606,30,792,2017-01-22 18:12:33.364000
307,3823.0,100.0,99,DAVIDK - 30% $ BONUS,143055,30,29,2017-01-22 18:12:33.364000
309,32805.0,100.0,99,10% BONUS MTGO CARDS,32523,10,298,2017-01-22 18:12:33.364000
312,9853.0,100.0,99,20% BONUS TIX MTGO,27929,20,82,2017-01-22 18:12:33.364000
325,34380.0,100.0,99,+35% BONUS ALL,102511,35,254,2017-01-22 18:12:33.364000
328,17368.0,100.0,99,+20% ON LANDS,44486,20,144,2017-01-22 18:12:33.364000
330,8357.0,100.0,20,DECIPIO - 15% BONUS,134314,15,72,2017-01-22 18:12:33.364000
331,25940.0,100.0,50,SLOGY (+50% BONUS),7258,50,172,2017-01-22 18:12:33.364000
333,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
334,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
335,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
339,4701.0,100.0,50,MFOERT (10-30%),78546,30,36,2017-01-22 18:12:33.364000
343,2079.0,100.0,89,+200% TIX,157293,200,6,2017-01-22 18:12:33.364000
350,1219.0,100.0,99,FALARGH +30% MTGO,122835,30,9,2017-01-22 18:12:33.364000
359,5630.0,100.0,53,MTGO +30%,149880,30,43,2017-01-22 18:12:33.364000
361,1193.0,100.0,99,50% BONUS EVERYTHING,70671,50,7,2017-01-22 18:12:33.364000
370,10866.0,100.0,99,NEIL R +15%FOR FOW,92484,15,94,2017-01-22 18:12:33.364000
373,426.0,100.0,10,FITNERD + 100%TIX,19056,100,2,2017-01-22 18:12:33.364000
377,1326.0,100.0,99,45% MTGO 100% TIX,92554,100,6,2017-01-22 18:12:33.364000
378,1326.0,100.0,99,45% MTGO 100% TIX,92554,100,6,2017-01-22 18:12:33.364000
380,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
381,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
382,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
384,18765.0,100.0,99,PMTW +40%ONTRADES,77534,40,134,2017-01-22 18:12:33.364000
387,3739.0,100.0,55,35% BONUS ON ALL,101461,35,27,2017-01-22 18:12:33.364000
